title_slug,tags,difficulty
kids-with-the-greatest-number-of-candies,['Array'],Easy
redundant-connection,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Medium
continuous-subarray-sum,"['Array', 'Hash Table', 'Math', 'Prefix Sum']",Medium
design-hashmap,"['Array', 'Hash Table', 'Linked List', 'Design', 'Hash Function']",Easy
short-encoding-of-words,"['Array', 'Hash Table', 'String', 'Trie']",Medium
number-of-recent-calls,"['Design', 'Queue', 'Data Stream']",Easy
intersection-of-three-sorted-arrays,"['Array', 'Hash Table', 'Binary Search', 'Counting']",Easy
parallel-courses,"['Graph', 'Topological Sort']",Medium
evaluate-division,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph', 'Shortest Path']",Medium
apply-bitwise-operations-to-make-strings-equal,"['String', 'Bit Manipulation']",Medium
maximum-average-subarray-ii,"['Array', 'Binary Search', 'Prefix Sum']",Hard
count-ways-to-make-array-with-product,"['Array', 'Math', 'Dynamic Programming', 'Combinatorics', 'Number Theory']",Hard
all-divisions-with-the-highest-score-of-a-binary-array,['Array'],Medium
spiral-matrix,"['Array', 'Matrix', 'Simulation']",Medium
find-the-divisibility-array-of-a-string,"['Array', 'Math', 'String']",Medium
pass-the-pillow,"['Math', 'Simulation']",Easy
count-the-number-of-good-partitions,"['Array', 'Hash Table', 'Math', 'Combinatorics']",Hard
find-the-difference-of-two-arrays,"['Array', 'Hash Table']",Easy
frog-jump,"['Array', 'Dynamic Programming']",Hard
graph-connectivity-with-threshold,"['Array', 'Math', 'Union Find', 'Number Theory']",Hard
maximum-number-of-robots-within-budget,"['Array', 'Binary Search', 'Queue', 'Sliding Window', 'Heap (Priority Queue)', 'Prefix Sum']",Hard
array-transformation,"['Array', 'Simulation']",Easy
construct-the-lexicographically-largest-valid-sequence,"['Array', 'Backtracking']",Medium
pacific-atlantic-water-flow,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']",Medium
count-beautiful-substrings-ii,"['Hash Table', 'Math', 'String', 'Number Theory', 'Prefix Sum']",Hard
seat-reservation-manager,"['Design', 'Heap (Priority Queue)']",Medium
lfu-cache,"['Hash Table', 'Linked List', 'Design', 'Doubly-Linked List']",Hard
cheapest-flights-within-k-stops,"['Dynamic Programming', 'Depth-First Search', 'Breadth-First Search', 'Graph', 'Heap (Priority Queue)', 'Shortest Path']",Medium
check-if-an-array-is-consecutive,"['Array', 'Hash Table', 'Sorting']",Easy
largest-subarray-length-k,"['Array', 'Greedy']",Easy
take-k-of-each-character-from-left-and-right,"['Hash Table', 'String', 'Sliding Window']",Medium
find-the-substring-with-maximum-cost,"['Array', 'Hash Table', 'String', 'Dynamic Programming']",Medium
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,"['Array', 'Binary Search', 'Matrix', 'Prefix Sum']",Medium
find-the-peaks,"['Array', 'Enumeration']",Easy
rings-and-rods,"['Hash Table', 'String']",Easy
print-immutable-linked-list-in-reverse,"['Linked List', 'Two Pointers', 'Stack', 'Recursion']",Medium
remove-all-ones-with-row-and-column-flips,"['Array', 'Math', 'Bit Manipulation', 'Matrix']",Medium
minimum-time-to-type-word-using-special-typewriter,"['String', 'Greedy']",Easy
remove-nodes-from-linked-list,"['Linked List', 'Stack', 'Recursion', 'Monotonic Stack']",Medium
finding-the-users-active-minutes,"['Array', 'Hash Table']",Medium
find-greatest-common-divisor-of-array,"['Array', 'Math', 'Number Theory']",Easy
slowest-key,"['Array', 'String']",Easy
next-greater-element-ii,"['Array', 'Stack', 'Monotonic Stack']",Medium
two-out-of-three,"['Array', 'Hash Table', 'Bit Manipulation']",Easy
median-of-a-row-wise-sorted-matrix,"['Array', 'Binary Search', 'Matrix']",Medium
design-bitset,"['Array', 'Hash Table', 'String', 'Design']",Medium
statistics-from-a-large-sample,"['Array', 'Math', 'Probability and Statistics']",Medium
car-fleet,"['Array', 'Stack', 'Sorting', 'Monotonic Stack']",Medium
kth-smallest-product-of-two-sorted-arrays,"['Array', 'Binary Search']",Hard
fair-candy-swap,"['Array', 'Hash Table', 'Binary Search', 'Sorting']",Easy
arithmetic-slices-ii-subsequence,"['Array', 'Dynamic Programming']",Hard
count-triplets-that-can-form-two-arrays-of-equal-xor,"['Array', 'Hash Table', 'Math', 'Bit Manipulation', 'Prefix Sum']",Medium
construct-binary-tree-from-inorder-and-postorder-traversal,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']",Medium
find-the-k-or-of-an-array,"['Array', 'Bit Manipulation']",Easy
remove-boxes,"['Array', 'Dynamic Programming', 'Memoization']",Hard
minimum-moves-to-reach-target-score,"['Math', 'Greedy']",Medium
beautiful-arrangement,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']",Medium
greatest-common-divisor-traversal,"['Array', 'Math', 'Union Find', 'Number Theory']",Hard
reconstruct-a-2-row-binary-matrix,"['Array', 'Greedy', 'Matrix']",Medium
paths-in-matrix-whose-sum-is-divisible-by-k,"['Array', 'Dynamic Programming', 'Matrix']",Hard
valid-word-square,"['Array', 'Matrix']",Easy
matrix-cells-in-distance-order,"['Array', 'Math', 'Geometry', 'Sorting', 'Matrix']",Easy
final-value-of-variable-after-performing-operations,"['Array', 'String', 'Simulation']",Easy
count-pairs-of-equal-substrings-with-minimum-difference,"['Hash Table', 'String', 'Greedy']",Medium
count-substrings-that-differ-by-one-character,"['Hash Table', 'String', 'Dynamic Programming']",Medium
minimum-operations-to-make-array-equal-ii,"['Array', 'Math', 'Greedy']",Medium
minimum-degree-of-a-connected-trio-in-a-graph,['Graph'],Hard
average-waiting-time,"['Array', 'Simulation']",Medium
largest-plus-sign,"['Array', 'Dynamic Programming']",Medium
find-pivot-index,"['Array', 'Prefix Sum']",Easy
minimum-number-of-frogs-croaking,"['String', 'Counting']",Medium
maximal-network-rank,['Graph'],Medium
find-a-peak-element-ii,"['Array', 'Binary Search', 'Matrix']",Medium
split-bst,"['Tree', 'Binary Search Tree', 'Recursion', 'Binary Tree']",Medium
the-time-when-the-network-becomes-idle,"['Array', 'Breadth-First Search', 'Graph']",Medium
leaf-similar-trees,"['Tree', 'Depth-First Search', 'Binary Tree']",Easy
random-pick-with-weight,"['Array', 'Math', 'Binary Search', 'Prefix Sum', 'Randomized']",Medium
remove-duplicates-from-sorted-list,['Linked List'],Easy
check-if-a-string-can-break-another-string,"['String', 'Greedy', 'Sorting']",Medium
cloneGraph,[],N/A
best-poker-hand,"['Array', 'Hash Table', 'Counting']",Easy
sum-of-scores-of-built-strings,"['String', 'Binary Search', 'Rolling Hash', 'Suffix Array', 'String Matching', 'Hash Function']",Hard
contains-duplicate-iii,"['Array', 'Sliding Window', 'Sorting', 'Bucket Sort', 'Ordered Set']",Hard
maximum-product-after-k-increments,"['Array', 'Greedy', 'Heap (Priority Queue)']",Medium
vertical-order-traversal-of-a-binary-tree,"['Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Sorting', 'Binary Tree']",Hard
rotate-string,"['String', 'String Matching']",Easy
can-place-flowers,"['Array', 'Greedy']",Easy
finding-the-number-of-visible-mountains,"['Array', 'Stack', 'Sorting', 'Monotonic Stack']",Medium
profitable-schemes,"['Array', 'Dynamic Programming']",Hard
maximum-number-of-groups-with-increasing-length,"['Array', 'Math', 'Binary Search', 'Greedy', 'Sorting']",Hard
minimum-cost-to-buy-apples,"['Array', 'Graph', 'Heap (Priority Queue)', 'Shortest Path']",Medium
minimum-cost-tree-from-leaf-values,"['Array', 'Dynamic Programming', 'Stack', 'Greedy', 'Monotonic Stack']",Medium
partition-string-into-substrings-with-values-at-most-k,"['String', 'Dynamic Programming', 'Greedy']",Medium
count-houses-in-a-circular-street,"['Array', 'Interactive']",Easy
total-cost-to-hire-k-workers,"['Array', 'Two Pointers', 'Heap (Priority Queue)', 'Simulation']",Medium
binary-tree-level-order-traversal-ii,"['Tree', 'Breadth-First Search', 'Binary Tree']",Medium
third-maximum-number,"['Array', 'Sorting']",Easy
minimum-number-of-operations-to-make-word-k-periodic,"['Hash Table', 'String', 'Counting']",Medium
k-divisible-elements-subarrays,"['Array', 'Hash Table', 'Trie', 'Rolling Hash', 'Hash Function', 'Enumeration']",Medium
longest-mountain-in-array,"['Array', 'Two Pointers', 'Dynamic Programming', 'Enumeration']",Medium
three-divisors,"['Math', 'Enumeration', 'Number Theory']",Easy
find-first-palindromic-string-in-the-array,"['Array', 'Two Pointers', 'String']",Easy
sort-features-by-popularity,"['Array', 'Hash Table', 'String', 'Sorting']",Medium
inorder-successor-in-bst,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",Medium
count-univalue-subtrees,"['Tree', 'Depth-First Search', 'Binary Tree']",Medium
alternating-digit-sum,['Math'],Easy
word-squares,"['Array', 'String', 'Backtracking', 'Trie']",Hard
number-of-sets-of-k-non-overlapping-line-segments,"['Math', 'Dynamic Programming', 'Combinatorics']",Medium
maximum-value-after-insertion,"['String', 'Greedy']",Medium
right-triangles,"['Array', 'Hash Table', 'Math', 'Combinatorics', 'Counting']",Medium
minimum-size-subarray-in-infinite-array,"['Array', 'Hash Table', 'Sliding Window', 'Prefix Sum']",Medium
concatenation-of-consecutive-binary-numbers,"['Math', 'Bit Manipulation', 'Simulation']",Medium
cycle-length-queries-in-a-tree,"['Array', 'Tree', 'Binary Tree']",Hard
longest-chunked-palindrome-decomposition,"['Two Pointers', 'String', 'Dynamic Programming', 'Greedy', 'Rolling Hash', 'Hash Function']",Hard
sum-of-beauty-in-the-array,['Array'],Medium
sum-of-digits-in-base-k,['Math'],Easy
delete-columns-to-make-sorted,"['Array', 'String']",Easy
maximum-number-of-integers-to-choose-from-a-range-ii,"['Array', 'Binary Search', 'Greedy', 'Sorting']",Medium
reverse-words-in-a-string-ii,"['Two Pointers', 'String']",Medium
painting-the-walls,"['Array', 'Dynamic Programming']",Hard
color-the-triangle-red,"['Array', 'Math']",Hard
random-pick-with-blacklist,"['Array', 'Hash Table', 'Math', 'Binary Search', 'Sorting', 'Randomized']",Hard
max-value-of-equation,"['Array', 'Queue', 'Sliding Window', 'Heap (Priority Queue)', 'Monotonic Queue']",Hard
minimize-malware-spread,"['Array', 'Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Hard
number-of-ways-to-split-a-string,"['Math', 'String']",Medium
inorder-successor-in-bst-ii,"['Tree', 'Binary Search Tree', 'Binary Tree']",Medium
correct-a-binary-tree,"['Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",Medium
minimize-malware-spread-ii,"['Array', 'Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Hard
longest-harmonious-subsequence,"['Array', 'Hash Table', 'Sliding Window', 'Sorting', 'Counting']",Easy
convert-an-array-into-a-2d-array-with-conditions,"['Array', 'Hash Table']",Medium
longest-square-streak-in-an-array,"['Array', 'Hash Table', 'Binary Search', 'Dynamic Programming', 'Sorting']",Medium
make-array-strictly-increasing,"['Array', 'Binary Search', 'Dynamic Programming', 'Sorting']",Hard
get-biggest-three-rhombus-sums-in-a-grid,"['Array', 'Math', 'Sorting', 'Heap (Priority Queue)', 'Matrix', 'Prefix Sum']",Medium
shortest-path-with-alternating-colors,"['Breadth-First Search', 'Graph']",Medium
find-the-original-array-of-prefix-xor,"['Array', 'Bit Manipulation']",Medium
two-furthest-houses-with-different-colors,"['Array', 'Greedy']",Easy
operations-on-tree,"['Array', 'Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Design']",Medium
projection-area-of-3d-shapes,"['Array', 'Math', 'Geometry', 'Matrix']",Easy
encode-string-with-shortest-length,"['String', 'Dynamic Programming']",Hard
number-of-ships-in-a-rectangle,"['Array', 'Divide and Conquer', 'Interactive']",Hard
keys-and-rooms,"['Depth-First Search', 'Breadth-First Search', 'Graph']",Medium
count-sub-islands,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",Medium
n-th-tribonacci-number,"['Math', 'Dynamic Programming', 'Memoization']",Easy
count-elements-with-maximum-frequency,"['Array', 'Hash Table', 'Counting']",Easy
minimum-sum-of-mountain-triplets-ii,['Array'],Medium
minimum-cost-of-buying-candies-with-discount,"['Array', 'Greedy', 'Sorting']",Easy
minimum-recolors-to-get-k-consecutive-black-blocks,"['String', 'Sliding Window']",Easy
valid-mountain-array,['Array'],Easy
path-in-zigzag-labelled-binary-tree,"['Math', 'Tree', 'Binary Tree']",Medium
trim-a-binary-search-tree,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",Medium
check-whether-two-strings-are-almost-equivalent,"['Hash Table', 'String', 'Counting']",Easy
minimum-time-to-visit-disappearing-nodes,"['Array', 'Graph', 'Heap (Priority Queue)', 'Shortest Path']",Medium
minimum-remove-to-make-valid-parentheses,"['String', 'Stack']",Medium
pour-water-between-buckets-to-make-water-levels-equal,"['Array', 'Binary Search']",Medium
partition-equal-subset-sum,"['Array', 'Dynamic Programming']",Medium
maximum-sum-of-two-non-overlapping-subarrays,"['Array', 'Dynamic Programming', 'Sliding Window']",Medium
k-th-smallest-in-lexicographical-order,['Trie'],Hard
maximum-number-of-vowels-in-a-substring-of-given-length,"['String', 'Sliding Window']",Medium
count-the-number-of-special-characters-i,"['Hash Table', 'String']",Easy
two-sum-iv-input-is-a-bst,"['Hash Table', 'Two Pointers', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Search Tree', 'Binary Tree']",Easy
advantage-shuffle,"['Array', 'Two Pointers', 'Greedy', 'Sorting']",Medium
find-the-safest-path-in-a-grid,"['Array', 'Binary Search', 'Breadth-First Search', 'Union Find', 'Matrix']",Medium
convert,[],N/A
tree-diameter,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']",Medium
number-of-enclaves,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",Medium
closest-binary-search-tree-value-ii,"['Two Pointers', 'Stack', 'Tree', 'Depth-First Search', 'Binary Search Tree', 'Heap (Priority Queue)', 'Binary Tree']",Hard
maximum-palindromes-after-operations,"['Array', 'Hash Table', 'String', 'Greedy', 'Sorting', 'Counting']",Medium
sum-of-remoteness-of-all-cells,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",Medium
paint-house-ii,"['Array', 'Dynamic Programming']",Hard
transpose-matrix,"['Array', 'Matrix', 'Simulation']",Easy
swap-nodes-in-pairs,"['Linked List', 'Recursion']",Medium
check-if-it-is-a-good-array,"['Array', 'Math', 'Number Theory']",Hard
find-indices-with-index-and-value-difference-i,"['Array', 'Two Pointers']",Easy
count-all-valid-pickup-and-delivery-options,"['Math', 'Dynamic Programming', 'Combinatorics']",Hard
number-of-corner-rectangles,"['Array', 'Math', 'Dynamic Programming', 'Matrix']",Medium
closest-prime-numbers-in-range,"['Math', 'Number Theory']",Medium
count-subarrays-with-more-ones-than-zeros,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']",Medium
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,"['Dynamic Programming', 'Prefix Sum']",Hard
smallest-string-with-swaps,"['Array', 'Hash Table', 'String', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Sorting']",Medium
best-team-with-no-conflicts,"['Array', 'Dynamic Programming', 'Sorting']",Medium
bulb-switcher-ii,"['Math', 'Bit Manipulation', 'Depth-First Search', 'Breadth-First Search']",Medium
minimum-cost-to-reach-destination-in-time,"['Array', 'Dynamic Programming', 'Graph']",Hard
determine-the-minimum-sum-of-a-k-avoiding-array,"['Math', 'Greedy']",Medium
car-fleet-ii,"['Array', 'Math', 'Stack', 'Heap (Priority Queue)', 'Monotonic Stack']",Hard
reverse-nodes-in-even-length-groups,['Linked List'],Medium
equal-tree-partition,"['Tree', 'Depth-First Search', 'Binary Tree']",Medium
validate-ip-address,['String'],Medium
maximum-deletions-on-a-string,"['String', 'Dynamic Programming', 'Rolling Hash', 'String Matching', 'Hash Function']",Hard
get-the-maximum-score,"['Array', 'Two Pointers', 'Dynamic Programming', 'Greedy']",Hard
remove-all-adjacent-duplicates-in-string-ii,"['String', 'Stack']",Medium
check-if-number-has-equal-digit-count-and-digit-value,"['Hash Table', 'String', 'Counting']",Easy
minimum-deletions-to-make-array-divisible,"['Array', 'Math', 'Sorting', 'Heap (Priority Queue)', 'Number Theory']",Hard
minimize-maximum-of-array,"['Array', 'Binary Search', 'Dynamic Programming', 'Greedy', 'Prefix Sum']",Medium
make-array-empty,"['Array', 'Binary Search', 'Greedy', 'Binary Indexed Tree', 'Segment Tree', 'Sorting', 'Ordered Set']",Hard
perfect-rectangle,"['Array', 'Line Sweep']",Hard
check-if-there-is-a-valid-parentheses-string-path,"['Array', 'Dynamic Programming', 'Matrix']",Hard
find-resultant-array-after-removing-anagrams,"['Array', 'Hash Table', 'String', 'Sorting']",Easy
largest-combination-with-bitwise-and-greater-than-zero,"['Array', 'Hash Table', 'Bit Manipulation', 'Counting']",Medium
maximum-beauty-of-an-array-after-applying-operation,"['Array', 'Binary Search', 'Sliding Window', 'Sorting']",Medium
most-frequent-even-element,"['Array', 'Hash Table', 'Counting']",Easy
maximum-trailing-zeros-in-a-cornered-path,"['Array', 'Matrix', 'Prefix Sum']",Medium
erect-the-fence-ii,"['Array', 'Math', 'Geometry']",Hard
largest-palindrome-product,['Math'],Hard
shifting-letters-ii,"['Array', 'String', 'Prefix Sum']",Medium
length-of-longest-subarray-with-at-most-k-frequency,"['Array', 'Hash Table', 'Sliding Window']",Medium
find-mode-in-binary-search-tree,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",Easy
append-characters-to-string-to-make-subsequence,"['Two Pointers', 'String', 'Greedy']",Medium
find-the-maximum-achievable-number,['Math'],Easy
palindromePartition2,[],N/A
maximum-strength-of-a-group,"['Array', 'Dynamic Programming', 'Backtracking', 'Greedy', 'Bit Manipulation', 'Sorting', 'Enumeration']",Medium
maximize-palindrome-length-from-subsequences,"['String', 'Dynamic Programming']",Hard
distinct-prime-factors-of-product-of-array,"['Array', 'Hash Table', 'Math', 'Number Theory']",Medium
binary-searchable-numbers-in-an-unsorted-array,"['Array', 'Binary Search']",Medium
rotate-image,"['Array', 'Math', 'Matrix']",Medium
find-the-losers-of-the-circular-game,"['Array', 'Hash Table', 'Simulation']",Easy
similar-string-groups,"['Array', 'Hash Table', 'String', 'Depth-First Search', 'Breadth-First Search', 'Union Find']",Hard
minimum-operations-to-make-numbers-non-positive,"['Array', 'Binary Search']",Hard
minimum-number-of-arrows-to-burst-balloons,"['Array', 'Greedy', 'Sorting']",Medium
ransom-note,"['Hash Table', 'String', 'Counting']",Easy
design-circular-queue,"['Array', 'Linked List', 'Design', 'Queue']",Medium
sum-of-distances-in-tree,"['Dynamic Programming', 'Tree', 'Depth-First Search', 'Graph']",Hard
special-binary-string,"['String', 'Recursion']",Hard
remove-zero-sum-consecutive-nodes-from-linked-list,"['Hash Table', 'Linked List']",Medium
largest-element-in-an-array-after-merge-operations,"['Array', 'Greedy']",Medium
word-pattern,"['Hash Table', 'String']",Easy
maximum-distance-in-arrays,"['Array', 'Greedy']",Medium
lemonade-change,"['Array', 'Greedy']",Easy
guess-the-number-using-bitwise-questions-i,"['Bit Manipulation', 'Interactive']",Medium
partition-array-for-maximum-sum,"['Array', 'Dynamic Programming']",Medium
maximum-number-of-alloys,"['Array', 'Binary Search']",Medium
count-complete-subarrays-in-an-array,"['Array', 'Hash Table', 'Sliding Window']",Medium
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,"['Math', 'Dynamic Programming', 'Combinatorics']",Hard
minimum-number-of-days-to-eat-n-oranges,"['Dynamic Programming', 'Memoization']",Hard
most-stones-removed-with-same-row-or-column,"['Hash Table', 'Depth-First Search', 'Union Find', 'Graph']",Medium
maximum-number-of-words-you-can-type,"['Hash Table', 'String']",Easy
reverse-subarray-to-maximize-array-value,"['Array', 'Math', 'Greedy']",Hard
rearrange-array-to-maximize-prefix-score,"['Array', 'Greedy', 'Sorting', 'Prefix Sum']",Medium
invalid-transactions,"['Array', 'Hash Table', 'String', 'Sorting']",Medium
minimumTotal2,[],N/A
path-crossing,"['Hash Table', 'String']",Easy
construct-target-array-with-multiple-sums,"['Array', 'Heap (Priority Queue)']",Hard
minimum-cost-of-a-path-with-special-roads,"['Array', 'Graph', 'Heap (Priority Queue)', 'Shortest Path']",Medium
strings-differ-by-one-character,"['Hash Table', 'String', 'Rolling Hash', 'Hash Function']",Medium
stamping-the-grid,"['Array', 'Greedy', 'Matrix', 'Prefix Sum']",Hard
minimum-genetic-mutation,"['Hash Table', 'String', 'Breadth-First Search']",Medium
number-of-divisible-substrings,"['Hash Table', 'String', 'Counting', 'Prefix Sum']",Medium
range-sum-of-bst,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']",Easy
check-if-a-string-contains-all-binary-codes-of-size-k,"['Hash Table', 'String', 'Bit Manipulation', 'Rolling Hash', 'Hash Function']",Medium
valid-sudoku,"['Array', 'Hash Table', 'Matrix']",Medium
number-of-unique-good-subsequences,"['String', 'Dynamic Programming']",Hard
license-key-formatting,['String'],Easy
strobogrammatic-number,"['Hash Table', 'Two Pointers', 'String']",Easy
number-of-ways-of-cutting-a-pizza,"['Array', 'Dynamic Programming', 'Memoization', 'Matrix']",Hard
find-the-closest-palindrome,"['Math', 'String']",Hard
find-latest-group-of-size-m,"['Array', 'Binary Search', 'Simulation']",Medium
reverse-odd-levels-of-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']",Medium
shortest-completing-word,"['Array', 'Hash Table', 'String']",Easy
check-completeness-of-a-binary-tree,"['Tree', 'Breadth-First Search', 'Binary Tree']",Medium
delete-node-in-a-bst,"['Tree', 'Binary Search Tree', 'Binary Tree']",Medium
k-highest-ranked-items-within-a-price-range,"['Array', 'Breadth-First Search', 'Sorting', 'Heap (Priority Queue)', 'Matrix']",Medium
maximize-number-of-nice-divisors,"['Math', 'Recursion']",Hard
split-array-into-maximum-number-of-subarrays,"['Array', 'Greedy', 'Bit Manipulation']",Medium
most-popular-video-creator,"['Array', 'Hash Table', 'String', 'Sorting', 'Heap (Priority Queue)']",Medium
ant-on-the-boundary,"['Array', 'Simulation', 'Prefix Sum']",Easy
maximum-points-inside-the-square,"['Array', 'Hash Table', 'String', 'Binary Search', 'Sorting']",Medium
delivering-boxes-from-storage-to-ports,"['Array', 'Dynamic Programming', 'Segment Tree', 'Queue', 'Heap (Priority Queue)', 'Prefix Sum', 'Monotonic Queue']",Hard
points-that-intersect-with-cars,"['Array', 'Hash Table', 'Prefix Sum']",Easy
graph-valid-tree,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Medium
maximum-swap,"['Math', 'Greedy']",Medium
maximum-white-tiles-covered-by-a-carpet,"['Array', 'Binary Search', 'Greedy', 'Sorting', 'Prefix Sum']",Medium
detect-capital,['String'],Easy
day-of-the-week,['Math'],Easy
maximum-subarray-sum-after-one-operation,"['Array', 'Dynamic Programming']",Medium
next-greater-element-i,"['Array', 'Hash Table', 'Stack', 'Monotonic Stack']",Easy
count-zero-request-servers,"['Array', 'Hash Table', 'Sliding Window', 'Sorting']",Medium
maximum-strong-pair-xor-ii,"['Array', 'Hash Table', 'Bit Manipulation', 'Trie', 'Sliding Window']",Hard
isInterleave,[],N/A
maximum-number-of-removable-characters,"['Array', 'Two Pointers', 'String', 'Binary Search']",Medium
length-of-longest-fibonacci-subsequence,"['Array', 'Hash Table', 'Dynamic Programming']",Medium
clumsy-factorial,"['Math', 'Stack', 'Simulation']",Medium
convert-binary-number-in-a-linked-list-to-integer,"['Linked List', 'Math']",Easy
peeking-iterator,"['Array', 'Design', 'Iterator']",Medium
global-and-local-inversions,"['Array', 'Math']",Medium
buy-two-chocolates,"['Array', 'Sorting']",Easy
count-servers-that-communicate,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix', 'Counting']",Medium
maximum-profitable-triplets-with-increasing-prices-i,"['Array', 'Binary Indexed Tree', 'Segment Tree']",Medium
design-bounded-blocking-queue,['Concurrency'],Medium
substring-with-largest-variance,"['Array', 'Dynamic Programming']",Hard
the-wording-game,"['Array', 'Math', 'Two Pointers', 'String', 'Game Theory']",Hard
egg-drop-with-2-eggs-and-n-floors,"['Math', 'Dynamic Programming']",Medium
longest-nice-subarray,"['Array', 'Bit Manipulation', 'Sliding Window']",Medium
maximum-frequency-stack,"['Hash Table', 'Stack', 'Design', 'Ordered Set']",Hard
shortest-common-supersequence,"['String', 'Dynamic Programming']",Hard
checking-existence-of-edge-length-limited-paths,"['Array', 'Two Pointers', 'Union Find', 'Graph', 'Sorting']",Hard
additive-number,"['String', 'Backtracking']",Medium
find-unique-binary-string,"['Array', 'Hash Table', 'String', 'Backtracking']",Medium
non-overlapping-intervals,"['Array', 'Dynamic Programming', 'Greedy', 'Sorting']",Medium
split-concatenated-strings,"['Array', 'String', 'Greedy']",Medium
minimum-cost-to-make-array-equal,"['Array', 'Binary Search', 'Greedy', 'Sorting', 'Prefix Sum']",Hard
stepping-numbers,"['Backtracking', 'Breadth-First Search']",Medium
create-maximum-number,"['Array', 'Two Pointers', 'Stack', 'Greedy', 'Monotonic Stack']",Hard
most-frequent-subtree-sum,"['Hash Table', 'Tree', 'Depth-First Search', 'Binary Tree']",Medium
add-minimum-number-of-rungs,"['Array', 'Greedy']",Medium
couples-holding-hands,"['Greedy', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",Hard
sort-the-matrix-diagonally,"['Array', 'Sorting', 'Matrix']",Medium
find-first-and-last-position-of-element-in-sorted-array,"['Array', 'Binary Search']",Medium
jump-game,"['Array', 'Dynamic Programming', 'Greedy']",Medium
account-balance-after-rounded-purchase,['Math'],Easy
maximum-product-of-splitted-binary-tree,"['Tree', 'Depth-First Search', 'Binary Tree']",Medium
maximum-enemy-forts-that-can-be-captured,"['Array', 'Two Pointers']",Easy
brace-expansion-ii,"['String', 'Backtracking', 'Stack', 'Breadth-First Search']",Hard
binary-tree-tilt,"['Tree', 'Depth-First Search', 'Binary Tree']",Easy
the-number-of-the-smallest-unoccupied-chair,"['Array', 'Hash Table', 'Heap (Priority Queue)']",Medium
my-calendar-iii,"['Binary Search', 'Design', 'Segment Tree', 'Ordered Set']",Hard
find-polygon-with-the-largest-perimeter,"['Array', 'Greedy', 'Sorting', 'Prefix Sum']",Medium
minimum-array-length-after-pair-removals,"['Array', 'Hash Table', 'Two Pointers', 'Binary Search', 'Greedy', 'Counting']",Medium
student-attendance-record-ii,['Dynamic Programming'],Hard
count-common-words-with-one-occurrence,"['Array', 'Hash Table', 'String', 'Counting']",Easy
maximum-distance-between-a-pair-of-values,"['Array', 'Two Pointers', 'Binary Search']",Medium
maximum-consecutive-floors-without-special-floors,"['Array', 'Sorting']",Medium
number-of-days-in-a-month,['Math'],Easy
longest-well-performing-interval,"['Array', 'Hash Table', 'Stack', 'Monotonic Stack', 'Prefix Sum']",Medium
solving-questions-with-brainpower,"['Array', 'Dynamic Programming']",Medium
minimum-cost-to-cut-a-stick,"['Array', 'Dynamic Programming', 'Sorting']",Hard
number-of-subarrays-with-lcm-equal-to-k,"['Array', 'Math', 'Number Theory']",Medium
number-of-distinct-binary-strings-after-applying-operations,"['Math', 'String']",Medium
maximum-equal-frequency,"['Array', 'Hash Table']",Hard
arranging-coins,"['Math', 'Binary Search']",Easy
basic-calculator,"['Math', 'String', 'Stack', 'Recursion']",Hard
divide-chocolate,"['Array', 'Binary Search']",Hard
